Well.Position,Temperature,Fluorescence,Normalized,tm,Protein,Ligand
C02,38.74049,38711.977,0.0679793809439686,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.799957,39365.438,0.0697091007089106,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.859425,40035.33,0.0714823135445297,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.918896,40721.777,0.0732993476804385,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.978363,41424.98,0.075160735166251,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.03783,42145.19,0.0770671404022312,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.097298,42882.73,0.0790194183735796,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.15677,43637.87,0.0810182837738074,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.216236,44410.863,0.0830644062972048,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.275703,45202.07,0.0851587415154663,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.335175,46011.85,0.0873022397062608,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.39464,46840.617,0.0894959967329718,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.45411,47688.84,0.0917412540446987,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.513577,48557.055,0.0940394304404119,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.573048,49445.773,0.0963918785437565,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.632515,50355.426,0.0987997418643506,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.691982,51286.43,0.101264121559604,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.751453,52239.28,0.103786327900954,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.81092,53214.59,0.106367986154386,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.870388,54212.96,0.109010684527701,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.929855,55234.973,0.111715966229482,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,39.989326,56281.188,0.114485310939999,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.048794,57352.055,0.117319909815102,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.10826,58447.918,0.120220673427267,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.167732,59569.066,0.12318836676325,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.2272,60715.86,0.126223945394748,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.286667,61888.68,0.1293284151867,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.346134,63087.89,0.132502739651842,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.405605,64313.83,0.135747818774595,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.465073,65566.82,0.139064499599119,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.52454,66847.08,0.142453364468277,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.58401,68154.66,0.145914545732718,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.64348,69489.52,0.149447937511922,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.702946,70851.7,0.153053645686409,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.762413,72241.35,0.15673206730813,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.821884,73658.72,0.160483864130337,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
