Well.Position,Temperature,Fluorescence,Normalized,norm_deriv,tm
A02,44.830757,45929.586,0.262802425367919,0.00378223090402255,54.330124
A02,44.89013,45948.688,0.263026987763383,0.00384281179882944,54.330124
A02,44.949497,45968.094,0.263255123971444,0.00392439621598325,54.330124
A02,45.00887,45987.914,0.263488127147976,0.00402280838683206,54.330124
A02,45.06824,46008.23,0.263726961281902,0.00412715008708165,54.330124
A02,45.127613,46029.074,0.263972002564022,0.00424123173798494,54.330124
A02,45.18698,46050.492,0.264223791768611,0.00437227634921054,54.330124
A02,45.246353,46072.574,0.264483386932293,0.00450936956349844,54.330124
A02,45.305725,46095.348,0.264751117222017,0.00465153726994476,54.330124
A02,45.365097,46118.84,0.265027288292808,0.00479461424672324,54.330124
A02,45.42447,46143.055,0.265311958924479,0.00492104070971521,54.330124
A02,45.483837,46167.906,0.265604106348293,0.00501736630237186,54.330124
A02,45.54321,46193.246,0.265902002437763,0.00507385519315608,54.330124
A02,45.60258,46218.87,0.266203237220581,0.00509419101134334,54.330124
A02,45.661953,46244.598,0.266505694623498,0.00510836936897956,54.330124
A02,45.72132,46270.395,0.266808963187826,0.00512923733476723,54.330124
A02,45.780693,46296.3,0.267113501396103,0.00516595468128802,54.330124
A02,45.840065,46322.39,0.26742021445744,0.00521406993569964,54.330124
A02,45.899437,46348.723,0.267729784217663,0.00527758914324735,54.330124
A02,45.958805,46375.375,0.268043104129919,0.0053762361635259,54.330124
A02,46.018177,46402.527,0.26836230202342,0.00551633090702832,54.330124
A02,46.07755,46430.387,0.268689823138363,0.00569818650067884,54.330124
A02,46.13692,46459.164,0.269028124470908,0.00591322735065766,54.330124
A02,46.19629,46489.027,0.269379192778717,0.0061528216678465,54.330124
A02,46.25566,46520.1,0.269744485801137,0.006399023052884,54.330124
A02,46.315033,46552.418,0.270124414996856,0.00666920987256375,54.330124
A02,46.374405,46586.1,0.27052037932541,0.00696067347129367,54.330124
A02,46.433777,46621.254,0.270933648430747,0.00724925937810064,54.330124
A02,46.493145,46657.863,0.271364022461506,0.00752657222480531,54.330124
A02,46.552517,46695.875,0.271810890107637,0.00777691776867816,54.330124
A02,46.61189,46735.152,0.272272629046317,0.00800799452550674,54.330124
A02,46.67126,46775.594,0.272748063681296,0.00824996498468899,54.330124
A02,46.73063,46817.258,0.273237864102437,0.00850698434312862,54.330124
A02,46.79,46860.22,0.273742923762889,0.0087760349889519,54.330124
A02,46.849373,46904.543,0.274263983288288,0.0090640823091373,54.330124
A02,46.908745,46950.32,0.274802135983146,0.00937617611934393,54.330124
A02,46.968113,46997.67,0.275358780806999,0.00970819310171044,54.330124
A02,47.027485,47046.7,0.275935175647834,0.0100517320580932,54.330124
A02,47.086857,47097.465,0.276531967083587,0.0104012339869746,54.330124
A02,47.14623,47149.996,0.277149519549096,0.0107593185755784,54.330124
A02,47.205597,47204.33,0.277788268014972,0.0111164165869812,54.330124
A02,47.26497,47260.473,0.278448283016991,0.0114706274385075,54.330124
A02,47.32434,47318.402,0.279129294168015,0.0118104129914734,54.330124
A02,47.383713,47378.05,0.279830513818558,0.012146626673961,54.330124
A02,47.443085,47439.395,0.280551683337444,0.0124927893388236,54.330124
A02,47.502453,47502.484,0.281293355254912,0.01284637691711,54.330124
A02,47.561825,47567.363,0.282056070345234,0.013206746312277,54.330124
A02,47.621197,47634.062,0.282840181287287,0.0135617391534503,54.330124
A02,47.68057,47702.555,0.283645382426045,0.0139080638303035,54.330124
